id,date,contact_type,institution,function,party,org_name,lobbyist_type,purpose,purpose_details
8DNDD93CLBF7H,2019-10-09,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,DRUŠTVO UČITELJEV GLUHIH SLOVENIJE,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zadeva v zvezi s pobudo za spremembo Zakona o zaposlitveni rehabilitaciji in zaposlovanju invalidov
8DNDD93CLBF7H,2019-10-09,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,IMNS,DRUŠTVO UČITELJEV GLUHIH SLOVENIJE,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zadeva v zvezi s pobudo za spremembo Zakona o zaposlitveni rehabilitaciji in zaposlovanju invalidov
MN4PK9S16CH4H,2020-10-07,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,DRUŠTVO VILJEM JULIJAN,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zadeva v zvezi s pobudo za vključitev spinalne mišične atrofije (SMA) v nacionalni program presejanja novorojenčkov v Sloveniji
MN4PK9S16CH4H,2020-10-07,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,IMNS,DRUŠTVO VILJEM JULIJAN,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zadeva v zvezi s pobudo za vključitev spinalne mišične atrofije (SMA) v nacionalni program presejanja novorojenčkov v Sloveniji
MN4PK9S16CH4H,2020-10-07,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,IMNS,DRUŠTVO VILJEM JULIJAN,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zadeva v zvezi s pobudo za vključitev spinalne mišične atrofije (SMA) v nacionalni program presejanja novorojenčkov v Sloveniji
MN4PK9S16CH4H,2020-10-07,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,DRUŠTVO VILJEM JULIJAN,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zadeva v zvezi s pobudo za vključitev spinalne mišične atrofije (SMA) v nacionalni program presejanja novorojenčkov v Sloveniji
5AXZR83T1VU4H,2020-01-13,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,DRUŠTVO ZA POMOČ Z UMETNOSTJO LOTISA,Voljeni predstavnik,Vpliv na odločanje v drugih zadevah,Zadeva v zvezi s predlogom grba EU
5AXZR83T1VU4H,2020-01-13,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,IMNS,DRUŠTVO ZA POMOČ Z UMETNOSTJO LOTISA,Voljeni predstavnik,Vpliv na odločanje v drugih zadevah,Zadeva v zvezi s predlogom grba EU
5AXZR83T1VU4H,2020-01-13,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,IMNS,DRUŠTVO ZA POMOČ Z UMETNOSTJO LOTISA,Voljeni predstavnik,Vpliv na odločanje v drugih zadevah,Zadeva v zvezi s predlogom grba EU
5AXZR83T1VU4H,2020-01-13,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,DRUŠTVO ZA POMOČ Z UMETNOSTJO LOTISA,Voljeni predstavnik,Vpliv na odločanje v drugih zadevah,Zadeva v zvezi s predlogom grba EU
KG9KG8JE52L4H,2020-12-02,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,IMNS,DRUŠTVO ŽENSKI LOBI SLOVENIJE,Zakoniti zastopnik,Vpliv na odločanje v drugih zadevah,Zadeva v zvezi z javnim pozivom k odprtju šol in vrtcev in sprejemanju ukrepov za omejitev in zajezitev epidemije Covid-19
KG9KG8JE52L4H,2020-12-02,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,DRUŠTVO ŽENSKI LOBI SLOVENIJE,Zakoniti zastopnik,Vpliv na odločanje v drugih zadevah,Zadeva v zvezi z javnim pozivom k odprtju šol in vrtcev in sprejemanju ukrepov za omejitev in zajezitev epidemije Covid-19
KG9KG8JE52L4H,2020-12-02,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,DRUŠTVO ŽENSKI LOBI SLOVENIJE,Zakoniti zastopnik,Vpliv na odločanje v drugih zadevah,Zadeva v zvezi z javnim pozivom k odprtju šol in vrtcev in sprejemanju ukrepov za omejitev in zajezitev epidemije Covid-19
KG9KG8JE52L4H,2020-12-02,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,IMNS,DRUŠTVO ŽENSKI LOBI SLOVENIJE,Zakoniti zastopnik,Vpliv na odločanje v drugih zadevah,Zadeva v zvezi z javnim pozivom k odprtju šol in vrtcev in sprejemanju ukrepov za omejitev in zajezitev epidemije Covid-19
JXZHH9BPN1X4H,2018-01-30,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,EKO KROG - DRUŠTVO ZA NARAVOVARSTVO IN OKOLJEVARSTVO,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog zakona o spodbujanju investicij
JXZHH9BPN1X4H,2018-01-30,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,EKO KROG - DRUŠTVO ZA NARAVOVARSTVO IN OKOLJEVARSTVO,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog zakona o spodbujanju investicij
LE1L7831P927H,2018-02-20,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,EKO KROG - DRUŠTVO ZA NARAVOVARSTVO IN OKOLJEVARSTVO,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog zakona o spodbujanju investicij
LE1L7831P927H,2018-02-20,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,IMNS,EKO KROG - DRUŠTVO ZA NARAVOVARSTVO IN OKOLJEVARSTVO,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog zakona o spodbujanju investicij
LE1L7831P927H,2018-02-20,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,IMNS,EKO KROG - DRUŠTVO ZA NARAVOVARSTVO IN OKOLJEVARSTVO,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog zakona o spodbujanju investicij
